Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.25,0.8875,0.8362,0.775,0.8125,0.7875,0.7,0.7375,0.775
Random Forest,0.0,1.0,0.8364,0.85,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.812,0.7,1.0,1.0,1.0,1.0,1.0
C5.0,0.05,0.975,0.8375,0.825,0.9812,0.9688,0.975,0.9562,0.975
C5.0-Boosting,0.0,1.0,0.8438,0.8,1.0,1.0,1.0,1.0,1.0
CTree,0.2125,0.8625,0.75,0.775,0.7625,0.7312,0.6938,0.675,0.7375
RPart,0.075,0.9312,0.8312,0.725,0.875,0.8438,0.8375,0.8438,0.8562
kNN,0.475,0.8938,0.8375,0.8,0.8125,0.8062,0.7125,0.7438,0.725
3NN+DTW,0.425,0.9,0.8562,0.825,0.8375,0.8562,0.7375,0.8062,0.7562
LSTM,0.2875,0.675,0.875,0.675,0.3812,0.775,0.7562,0.4188,0.4875
C4.5,0.6375,0.9812,0.7812,0.8,0.9812,0.9938,0.9812,0.9875,0.825
