Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.9668,0.7802,0.7404,0.7756,0.6756,0.6282,0.5608,0.5186,0.4887
Random Forest,0.0,1.0,0.8835,0.9004,1.0,1.0,1.0,1.0,1.0
CART,0.0803,0.9993,0.7035,0.7211,0.9977,0.996,0.9904,0.9884,0.9814
C5.0,0.4462,0.9658,0.7414,0.745,0.9114,0.8818,0.8748,0.84,0.8207
C5.0-Boosting,0.0146,1.0,0.8496,0.8539,1.0,0.998,0.9987,0.998,0.9963
CTree,0.9788,0.7965,0.6919,0.7211,0.7082,0.6587,0.5946,0.5531,0.5163
RPart,0.7928,0.7098,0.6311,0.6375,0.6328,0.5956,0.5385,0.4967,0.4841
kNN,0.8088,0.7845,0.7543,0.7835,0.7088,0.6716,0.6262,0.5813,0.5518
3NN+DTW,0.1348,0.9233,0.7799,0.8234,0.8792,0.8689,0.8609,0.8566,0.8516
LSTM,0.7490000000000001,0.8748,0.7848,0.8088,0.8685,0.8108,0.8018,0.6999,0.7367
C4.5,0.3918,0.9645,0.7281,0.7238,0.9114,0.8831,0.8662,0.8519,0.8290000000000001
