Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.4031,0.6990000000000001,0.6557,0.7041,0.6556,0.6059,0.5944,0.5574,0.5791
Random Forest,0.0,1.0,0.9159,0.9286,1.0,1.0,1.0,1.0,1.0
CART,0.0,1.0,0.838,0.8673,1.0,1.0,1.0,1.0,1.0
C5.0,0.4872,0.9809,0.852,0.8418,0.9184,0.9247,0.8788,0.8776,0.8202
C5.0-Boosting,0.7219,1.0,0.9107,0.9133,1.0,0.912,0.9273,0.8776,0.8367
CTree,0.6939,0.8814,0.8009999999999999,0.8673,0.7934,0.7628,0.7054,0.6403,0.6811
RPart,0.5714,0.9031,0.8635,0.8571,0.8584,0.8202,0.7997,0.7691,0.7411
kNN,0.5638,0.7946,0.7653,0.8214,0.7423,0.7194,0.7041,0.6543,0.6339
3NN+DTW,0.2755,0.8763,0.7869,0.852,0.8444,0.7806,0.7946,0.7577,0.787
LSTM,0.6684,0.7577,0.7573,0.7143,0.7105,0.7832,0.7934,0.6837,0.5931
C4.5,1.3418,0.977,0.8432,0.8469,0.9477,0.9069,0.8878,0.7997,0.6658
