Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.2244,0.248,0.2245,0.2404,0.1886,0.2055,0.1647,0.1624,0.1541
Random Forest,0.0,1.0,0.8154,0.8141,1.0,1.0,1.0,1.0,1.0
CART,0.0996,1.0,0.7141,0.7185,0.998,0.9983,0.9904,0.9844,0.9801
C5.0,0.5664,0.9406,0.7115,0.7238,0.8685,0.8403,0.8061,0.7815,0.7563
C5.0-Boosting,0.4515,0.9990000000000001,0.8028,0.7968,0.9678,0.9459,0.9187,0.8901,0.8828
CTree,0.9475,0.7477,0.6474,0.6534,0.6594,0.6165,0.5342,0.5173,0.4721
RPart,0.6707,0.6013,0.5388,0.5232,0.4904,0.4595,0.4067,0.3785,0.3632
kNN,0.5697,0.5983,0.5488,0.5618,0.5378,0.5063,0.4834,0.4472,0.425
3NN+DTW,0.0173,0.8891,0.5794,0.579,0.8788,0.8762,0.8725,0.8795,0.8815
LSTM,0.2098,0.5770000000000001,0.6916,0.5604,0.4721,0.3274,0.5365,0.3274,0.5246
C4.5,0.5219,0.9442,0.7075,0.7251,0.8708,0.8493,0.8217,0.7895,0.7703
