Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.1667,0.0753,0.0658,0.0701,0.0865,0.0865,0.0625,0.0801,0.0481
Random Forest,0.0,1.0,0.4965,0.5032,1.0,1.0,1.0,1.0,1.0
CART,0.0737,1.0,0.3304,0.3312,0.976,0.9808,0.9968,0.9439,0.976
C5.0,0.3462,0.8606,0.3285,0.3631,0.7981,0.8077,0.7788,0.7596,0.7356
C5.0-Boosting,0.0513,0.9984,0.3814,0.4586,0.9936,0.9936,0.9904,0.984,0.9856
CTree,0.4712,0.3093,0.1795,0.2739,0.2147,0.2179,0.1923,0.1202,0.1458
RPart,0.4135,0.3365,0.226,0.2484,0.3013,0.2564,0.2532,0.2356,0.2083
kNN,0.1506,0.274,0.1763,0.2038,0.2436,0.2372,0.2372,0.2099,0.2196
3NN+DTW,0.1667,0.8814,0.2483,0.293,0.8894,0.899,0.8974,0.9087,0.9263
