Classifier,PV,ACC_TRAIN,ACC_CV,ACC_TEST,PV_1,PV_2,PV_3,PV_4,PV_5
RBF-SVM,0.3929,0.5119,0.4222,0.5116,0.4821,0.4762,0.5,0.4464,0.3988
Random Forest,0.0357,1.0,0.7566,0.7674,1.0,1.0,1.0,0.994,0.994
CART,0.0357,1.0,0.6504,0.6512,1.0,1.0,1.0,0.994,0.994
C5.0,0.3214,0.9583,0.5891,0.6977,0.9345,0.9167,0.8988,0.7917,0.9167
C5.0-Boosting,0.0833,1.0,0.7203,0.6512,1.0,1.0,1.0,0.9702,0.994
CTree,0.0357,0.6071,0.4048,0.5116,0.3571,0.375,0.3393,0.369,0.369
RPart,0.5714,0.8155,0.5542,0.6744,0.7798,0.7738,0.7143,0.6905,0.6786
kNN,0.3214,0.6369,0.5062,0.4884,0.6131,0.6071,0.5714,0.5298,0.5714
3NN+DTW,0.4048,0.8929,0.6973,0.7674,0.8571,0.8452,0.8274,0.7976,0.7798
